entidad,tipo,trafico_actual,trafico_anterior,pct_cambio,paginas_actual,paginas_anterior
código penal,tema,1202,4273,-71.86988064591621,11,11
ley de residuos,tema,210,721,-70.87378640776699,2,2
destruccion revista mercado,tema,93,317,-70.66246056782335,2,2
visión emprendedora,tema,403,1361,-70.38941954445261,18,18
Argentina,entidad,158,533,-70.35647279549718,13,13
resultados de la lotería,tema,2448,8135,-69.9078057775046,96,96
valiosas en revista mercado,tema,311,1001,-68.93106893106894,2,2
Japón,entidad,200,631,-68.30427892234549,12,12
Elon Musk,entidad,354,1096,-67.7007299270073,19,19
Colombia,entidad,919,2697,-65.92510196514645,24,24
ganando las elecciones,tema,124,359,-65.45961002785515,4,4
Messi,entidad,343,981,-65.03567787971458,5,5
dominicana revista,entidad,5787,16335,-64.57300275482093,108,108
Luna,entidad,351,980,-64.18367346938776,12,12
Marileidy Paulino,entidad,331,908,-63.54625550660793,11,11
marcas de lujo,tema,419,1144,-63.37412587412587,6,6
Samaná,entidad,327,890,-63.258426966292134,3,3
sismo de magnitud,tema,309,829,-62.72617611580217,2,2
lujo más valiosas,tema,419,1122,-62.65597147950089,3,3
magnitud sacude,tema,319,824,-61.286407766990294,2,2
terremoto en colombia,tema,389,1000,-61.1,4,4
Page,entidad,402,998,-59.71943887775551,29,29
FMI en Latinoamérica,entidad,230,565,-59.29203539823009,2,2
países más endeudados,tema,230,565,-59.29203539823009,2,2
JCE,entidad,164,401,-59.10224438902743,4,4
Mundial,tema,1181,2825,-58.19469026548673,102,102
Reinas del Caribe,entidad,465,1091,-57.37855178735106,7,7
digital revista mercado,tema,294,662,-55.58912386706949,11,11
Caribe,entidad,353,791,-55.37294563843236,11,11
ranking revista mercado,tema,430,939,-54.20660276890309,10,10
inteligencia artificial,tema,484,1056,-54.166666666666664,42,42
ciudades de américa latina,tema,163,353,-53.82436260623229,2,2
global revista mercado,tema,290,628,-53.82165605095541,14,14
España,entidad,546,1172,-53.41296928327645,25,25
carlos slim,tema,208,443,-53.04740406320542,3,3
NASA,entidad,209,443,-52.8216704288939,11,11
gasolina más cara,tema,210,445,-52.80898876404494,5,5
países con la gasolina,tema,153,321,-52.33644859813084,3,3
calendario lunar,tema,190,398,-52.26130653266332,5,5
modo infiel,tema,296,610,-51.47540983606557,2,2
Santo Domingo,entidad,9945,20120,-50.57157057654076,75,75
Niño,entidad,248,498,-50.200803212851405,15,15
Android,entidad,852,1581,-46.110056925996204,10,10
horarios y dónde ver,tema,267,495,-46.06060606060606,4,4
hombre detrás,tema,311,575,-45.91304347826087,2,2
paso a paso,tema,924,1674,-44.80286738351254,8,8
conviene comprar,tema,181,323,-43.962848297213625,2,2
cuánto costará,tema,961,1697,-43.370654095462584,9,9
Coca Cola,entidad,481,848,-43.278301886792455,10,10
York,entidad,415,731,-43.22845417236662,11,11
domingo,entidad,259,456,-43.20175438596491,10,10
ranking global revista mercado,tema,208,362,-42.5414364640884,3,3
mercado revista,entidad,194,333,-41.74174174174174,9,9
terremoto en venezuela,tema,202,346,-41.61849710982659,6,6
ranking países,tema,210,356,-41.01123595505618,6,6
Leidsa,entidad,12543,21013,-40.308380526340834,34,34
América Latina,entidad,5031,8077,-37.712021790268665,123,123
países de latinoamérica,tema,230,365,-36.986301369863014,14,14
Netflix,entidad,344,538,-36.059479553903344,15,15
per cápita,tema,247,386,-36.01036269430052,5,5
reforma fiscal,tema,408,636,-35.84905660377358,6,6
ranking global,tema,371,568,-34.683098591549296,9,9
Amazon,entidad,251,384,-34.635416666666664,14,14
vivir en américa latina,tema,201,307,-34.527687296416936,2,2
caros para vivir,tema,287,436,-34.174311926605505,2,2
países más caros,tema,287,436,-34.174311926605505,2,2
salud revista mercado,tema,209,316,-33.860759493670884,7,7
whatsapp dejará,tema,961,1442,-33.35644937586685,8,8
Penal,entidad,499,747,-33.19946452476573,6,6
precio revista mercado,tema,270,404,-33.16831683168317,2,2
Miami,entidad,312,464,-32.758620689655174,12,12
países más ricos,tema,256,372,-31.182795698924732,6,6
dominicanos pueden viajar,tema,369,526,-29.84790874524715,2,2
visa en revista mercado,tema,369,526,-29.84790874524715,2,2
powerful women,tema,337,480,-29.791666666666668,4,4
Estados Unidos,entidad,1012,1423,-28.88264230498946,49,49
bloquearon en whatsapp,tema,2069,2891,-28.433068142511242,2,2
caribe revista,entidad,475,661,-28.139183055975796,22,22
Bono,entidad,1681,2339,-28.131680205215904,18,18
seguridad revista mercado,tema,297,410,-27.5609756097561,3,3
calidad de vida,tema,688,947,-27.349524815205914,9,9
Trabajar,entidad,297,406,-26.84729064039409,17,17
spider man brand new,entidad,375,512,-26.7578125,5,5
tus conversaciones de whatsapp,tema,689,937,-26.467449306296693,2,2
dominicana,entidad,703,954,-26.31027253668763,35,35
tus conversaciones,tema,725,983,-26.246185147507628,3,3
precio del iphone pro,tema,430,581,-25.989672977624785,2,2
fuertes y débiles,tema,501,675,-25.77777777777778,2,2
business archives revista,entidad,416,560,-25.714285714285715,4,4
norte archives revista,entidad,261,350,-25.428571428571427,4,4
cuánto cuesta,tema,451,601,-24.958402662229616,12,12
mercado,entidad,2677,3546,-24.506486181613084,73,73
lotería nacional,tema,1113,1470,-24.285714285714285,46,46
ranking los países,tema,727,959,-24.19186652763295,8,8
mejores restaurantes,tema,561,738,-23.983739837398375,5,5
PIB,entidad,437,572,-23.6013986013986,11,11
monedas más fuertes,tema,532,696,-23.563218390804597,2,2
tripadvisor revista,entidad,281,367,-23.43324250681199,8,8
trabajar revista,entidad,1215,1580,-23.10126582278481,5,5
mejores restaurantes en santo,tema,333,433,-23.094688221709006,2,2
ricos de latinoamérica,tema,331,427,-22.482435597189696,5,5
crédito más exclusivas,tema,578,744,-22.311827956989248,2,2
exclusivas del mundo revista,tema,578,744,-22.311827956989248,2,2
archives revista,entidad,15764,20186,-21.906271673437036,223,223
exclusivas del mundo,tema,615,784,-21.556122448979593,4,4
empresa revista mercado,tema,239,302,-20.86092715231788,3,3
casa revista mercado,tema,436,546,-20.146520146520146,3,3
ranking de los países,tema,567,703,-19.34566145092461,6,6
Cuba,entidad,246,305,-19.34426229508197,12,12
mundo revista mercado,tema,2518,3099,-18.747983220393674,58,58
Rankings,entidad,904,1101,-17.892824704813805,2,2
dra kathleen martínez,tema,309,374,-17.379679144385026,4,4
república dominicana salarios,tema,256,309,-17.15210355987055,2,2
solar en república dominicana,tema,289,348,-16.95402298850575,2,2
latina revista,entidad,949,1135,-16.387665198237887,23,23
empresas más admiradas,tema,269,321,-16.1993769470405,8,8
mejores empresas para trabajar,tema,2050,2443,-16.08677855096193,36,36
The,entidad,336,400,-16.0,4,4
whatsapp revista,entidad,1158,1378,-15.965166908563136,9,9
números ganadores,tema,695,827,-15.96130592503023,10,10
viajar sin visa,tema,1728,2056,-15.95330739299611,3,3
real estate,tema,258,305,-15.40983606557377,7,7
tarjetas de crédito,tema,878,1032,-14.922480620155039,7,7
ciudades más peligrosas,tema,342,400,-14.5,3,3
WhatsApp,entidad,9406,10991,-14.420889818942772,64,64
mercado región,tema,438,508,-13.779527559055119,6,6
whatsapp sin dejar,tema,588,681,-13.656387665198238,2,2
market brief,entidad,631,729,-13.443072702331962,6,6
terremotos más fuertes,tema,1436,1642,-12.545676004872107,4,4
guía completa,tema,705,803,-12.204234122042342,6,6
Europa,entidad,361,411,-12.165450121654501,15,15
código postal,tema,3525,3977,-11.365350766909732,2,2
lista completa,tema,3549,4001,-11.297175706073482,3,3
lotería números ganadores,tema,304,342,-11.11111111111111,6,6
globales revista mercado,tema,339,379,-10.554089709762533,2,2
Latinoamérica en Revista Mercado,entidad,686,757,-9.379128137384413,12,12
Latinoamérica,entidad,2341,2563,-8.661724541552868,52,52
sufragio femenino,tema,745,810,-8.024691358024691,2,2
Erika Kirk,entidad,751,802,-6.359102244389027,2,2
Punta Cana,entidad,621,661,-6.05143721633888,18,18
imdb revista,entidad,345,366,-5.737704918032787,2,2
poderosos del mundo,tema,572,604,-5.298013245033113,5,5
kathleen martínez,entidad,361,380,-5.0,7,7
RD Revista Mercado,entidad,1348,1415,-4.734982332155477,59,59
mundo en revista mercado,tema,778,814,-4.422604422604422,25,25
documentos necesitas,tema,372,388,-4.123711340206185,3,3
mejores películas,tema,417,434,-3.9170506912442398,4,4
latina con mejor calidad,tema,347,356,-2.5280898876404496,2,2
cap cana,entidad,356,363,-1.9283746556473829,13,13
diaria revista mercado,tema,328,329,-0.303951367781155,2,2
latinoamérica revista,entidad,448,445,0.6741573033707865,36,36
FMI,entidad,352,346,1.7341040462427746,5,5
requisitos y costos,tema,341,335,1.791044776119403,2,2
vivir en república dominicana,tema,441,433,1.8475750577367205,4,4
mercado events,tema,363,353,2.8328611898016995,7,7
Comparativa,entidad,413,399,3.508771929824561,3,3
requisitos revista mercado,tema,413,396,4.292929292929293,2,2
Daily News Archives Revista Mercado,entidad,367,348,5.459770114942529,2,2
Spider Man Brand New Day,entidad,367,345,6.3768115942028984,3,3
Summit,entidad,392,368,6.521739130434782,10,10
bono a mil,tema,1291,1186,8.853288364249579,8,8
valiosas del mundo,tema,508,465,9.24731182795699,16,16
dominicana en revista,entidad,343,313,9.584664536741213,6,6
república dominicana en revista,tema,332,302,9.933774834437086,4,4
precio del dólar,tema,1840,1640,12.195121951219512,48,48
iphone pro,tema,24687,21999,12.21873721532797,49,49
not set,tema,382,321,19.003115264797508,33,33
cuánto dinero,tema,1240,1018,21.807465618860512,21,21
Rusia,entidad,573,464,23.49137931034483,13,13
mercado laboral,tema,382,301,26.910299003322258,12,12
educación en latinoamérica,tema,396,310,27.741935483870968,2,2
ranking de educación,tema,396,310,27.741935483870968,2,2
Temu,entidad,827,644,28.41614906832298,2,2
precio del iphone,tema,785,581,35.111876075731494,4,4
países de américa latina,tema,1146,847,35.30106257378985,16,16
dejará de funcionar,tema,625,439,42.369020501138955,10,10
IA,entidad,1753,1223,43.336058871627145,58,58
Brasil,entidad,833,581,43.373493975903614,16,16
norte revista,entidad,713,489,45.807770961145195,13,13
mercado newsletter,tema,589,389,51.41388174807198,2,2
ver fútbol,tema,971,593,63.74367622259697,9,9
construction summit,entidad,615,369,66.66666666666667,10,10
Venezuela,entidad,1242,744,66.93548387096774,35,35
países donde,tema,958,567,68.95943562610229,12,12
región norte,tema,1252,704,77.8409090909091,30,30
Trump,entidad,761,424,79.48113207547169,32,32
dólar hoy en república,tema,3093,1624,90.45566502463055,50,50
metro de santo,tema,4286,2226,92.54267744833783,7,7
C,entidad,4271,2165,97.27482678983834,5,5
US,entidad,2679,1335,100.67415730337079,94,94
festival presidente artistas,tema,1747,795,119.74842767295597,2,2
China,entidad,1367,608,124.83552631578948,28,28
eclipse solar,tema,4399,1932,127.69151138716356,25,25
Pro,entidad,23038,9838,134.1736125228705,37,37
Norte,entidad,814,331,145.9214501510574,21,21
EE UU,entidad,2684,1088,146.69117647058823,73,73
cuánto tarda,tema,1624,620,161.93548387096774,2,2
samsung galaxy,entidad,980,354,176.8361581920904,5,5
special revista revista mercado,entidad,1434,493,190.87221095334687,2,2
Meta,entidad,925,305,203.27868852459017,23,23
Apple,entidad,20843,6481,221.60160469063416,41,41
resultados de loterías,tema,14296,4296,232.77467411545624,16,16
real,entidad,1763,435,305.28735632183907,9,9
iphone plegable,tema,6829,1657,312.13035606517803,7,7
festival presidente,entidad,5128,1199,327.68974145120933,9,9
DR,entidad,1915,416,360.33653846153845,26,26
The Best,entidad,2577,550,368.54545454545456,34,34
Abinader,entidad,3310,657,403.80517503805174,24,24
Uber,entidad,3946,575,586.2608695652174,3,3
apple cambiaría,tema,5898,835,606.3473053892216,3,3
