ruta,autor,h1_70_170,title_50_65,meta_desc_150_170,meta_desc_no_repite_h1,primer_parrafo_180,h2_estructura,listas_tablas,extension_400,tags_1_5,enlaces_min_2,enlace_parrafo_1_3,ancla_valida,imagen_1200px,imagen_alt
/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Edwin Lozada,True,True,False,True,True,False,,True,False,True,True,True,True,False
/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,Jhojhanni Fiorini,True,False,False,True,True,True,,True,True,True,False,False,True,False
/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/,Andrea Mercedes,True,True,False,True,True,True,,True,True,True,True,True,True,False
/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,Andrea Mercedes,True,True,False,True,True,False,,True,True,True,True,True,True,False
/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,Andrea Mercedes,True,False,False,True,True,True,,True,True,True,True,True,True,False
/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,Jhojhanni Fiorini,True,False,False,True,True,True,,True,True,True,False,False,True,True
/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,Andrea Mercedes,True,False,False,True,True,True,,True,True,True,True,True,True,False
/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,Elba Reyes,True,True,False,True,True,False,,True,True,True,True,False,True,False
/money-invest/daily-news/espana-trofeo-original-mundial-2026/,Edwin Lozada,False,True,False,True,True,False,,True,True,False,False,False,True,False
/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-cuartos-de-final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos/,Elba Reyes,True,False,False,True,True,False,,True,True,True,True,False,True,False
/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,Jhojhanni Fiorini,True,False,False,True,False,False,,False,True,True,True,True,False,False
/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,Elba Reyes,True,True,False,True,True,False,,True,True,True,True,False,True,False
/money-invest/daily-news/que-famosos-murieron-en-el-terremoto-de-venezuela-lista-de-artistas-afectados-y-desaparecidos/,Andrea Mercedes,True,False,False,True,True,True,,True,True,True,True,True,True,False
